"county_id","precinct_desc","party_cd","Voted","N"
32,"30-1","REP",TRUE,1024
32,"34-2","REP",TRUE,237
32,"28","UNA",TRUE,880
32,"6","UNA",TRUE,424
32,"40","REP",TRUE,91
32,"29","REP",TRUE,598
32,"34-1","REP",TRUE,198
32,"39","LIB",TRUE,9
32,"3","UNA",TRUE,751
32,"25","REP",TRUE,796
32,"12","LIB",TRUE,2
32,"53-2","LIB",TRUE,23
32,"PRECINCT 07-10","UNA",TRUE,1
32,"4","REP",TRUE,105
32,"6","REP",TRUE,73
32,"17","REP",TRUE,48
32,"41","UNA",TRUE,121
32,"FLOWERS PLANTATION","REP",TRUE,1
32,"26","REP",TRUE,428
32,"51","LIB",TRUE,18
32,"34-2","LIB",TRUE,15
32,"7","REP",TRUE,90
32,"33","LIB",TRUE,41
32,"20","REP",TRUE,54
32,"MANNS CHAPEL","UNA",TRUE,1
32,"19","LIB",TRUE,11
32,"47","UNA",TRUE,139
32,"37","LIB",TRUE,14
32,"LIONS CLUB","UNA",TRUE,1
32,"38","LIB",TRUE,25
32,"16","LIB",TRUE,8
32,"2","LIB",TRUE,24
32,"28","LIB",TRUE,17
32,"21","REP",TRUE,95
32,"55-49","REP",TRUE,11
32,"9","LIB",TRUE,8
32,"50","LIB",TRUE,19
32,"GEORGE STREET","DEM",TRUE,1
32,"55-11","UNA",TRUE,180
32,"8","REP",TRUE,74
32,"18","REP",TRUE,62
32,"24","LIB",TRUE,9
32,"PRECINCT 05-05","DEM",TRUE,3
32,"CROSS CREEK 28-2-G5","UNA",TRUE,1
32,"20","LIB",TRUE,9
32,"30-2","LIB",TRUE,17
32,"PRECINCT 18-06","REP",TRUE,1
32,"THOMASVILLE 8 #72","REP",TRUE,1
32,"52","REP",TRUE,132
32,"47","REP",TRUE,23
32,"14","REP",TRUE,53
32,"26","UNA",TRUE,299
32,"27","LIB",TRUE,16
32,"17","LIB",TRUE,7
32,"12","UNA",TRUE,82
32,"43","LIB",TRUE,20
32,"31","LIB",TRUE,15
32,"10","REP",TRUE,20
32,"41","REP",TRUE,15
32,"6","LIB",TRUE,9
32,"18","LIB",TRUE,5
32,"3","LIB",TRUE,12
32,"53-1","LIB",TRUE,19
32,"32","LIB",TRUE,7
32,"42","REP",TRUE,9
32,"25","LIB",TRUE,12
32,"13","REP",TRUE,15
32,"5","LIB",TRUE,19
32,"MT TIRZAH","REP",TRUE,1
32,"35.3","LIB",TRUE,37
32,"55-11","REP",TRUE,14
32,"HOLLOWAY","REP",TRUE,1
32,"FLAT RIVER","REP",TRUE,1
32,"13","LIB",TRUE,4
32,"TALLY HO","DEM",TRUE,1
32,"48","LIB",TRUE,1
32,"8","LIB",TRUE,8
32,"54","LIB",TRUE,22
32,"7","LIB",TRUE,15
32,"PRECINCT 20-06A","UNA",TRUE,1
32,"15","LIB",TRUE,5
32,"21","LIB",TRUE,5
32,"46","LIB",TRUE,11
32,"40","LIB",TRUE,13
32,"42","LIB",TRUE,2
32,"29","LIB",TRUE,9
32,"1","LIB",TRUE,5
32,"4","LIB",TRUE,5
32,"45","LIB",TRUE,11
32,"22","LIB",TRUE,1
32,"10","LIB",TRUE,4
32,"COUNTRY CLUB","UNA",TRUE,2
32,"26","LIB",TRUE,5
32,"55-49","LIB",TRUE,5
32,"CAMERON PARK","UNA",TRUE,1
32,"34-1","LIB",TRUE,10
32,"52","LIB",TRUE,5
32,"55-11","LIB",TRUE,2
32,"GREENVILLE #9","DEM",TRUE,1
32,"G67","UNA",TRUE,1
32,"47","LIB",TRUE,1
32,"G67","DEM",TRUE,1
32,"14","LIB",TRUE,2
32,"GREENVILLE #7","UNA",TRUE,1
32,"36","LIB",TRUE,6
32,"GRADY BROWN","DEM",TRUE,1
32,"702","UNA",TRUE,1
32,"PRECINCT 01-16","DEM",TRUE,1
32,"SANDY CREEK","UNA",TRUE,1
32,"PEARCES","UNA",TRUE,1
32,"BUTNER","DEM",TRUE,1
32,"MT ENERGY","DEM",TRUE,1
32,"CREDLE","DEM",TRUE,1
32,"PRECINCT 19-05","UNA",TRUE,1
32,"G26","UNA",TRUE,1
32,"PRECINCT 20-15","REP",TRUE,1
32,"G66","DEM",TRUE,1
32,"ROANOKE RAPIDS 4","DEM",TRUE,1
32,"STEWARTS CREEK","DEM",TRUE,1
32,"BARBECUE","UNA",TRUE,1
32,"AHOSKIE 3","DEM",TRUE,1
32,"CODDLE CREEK #1","DEM",TRUE,1
32,"PRECINCT 04-01","REP",TRUE,2
32,"PRECINCT D2","REP",TRUE,1
32,"PRECINCT D1","DEM",TRUE,1
